[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 180): current_key = 361, current_payload = 1038300672.0, direction = 1
[INFO] (lattice_cell.c: 374): the key I receive is 368
[INFO] (lattice_cell.c: 374): the key I receive is 535
[INFO] (lattice_cell.c: 374): the key I receive is 447
[INFO] (lattice_cell.c: 374): the key I receive is 525
[INFO] (lattice_cell.c: 374): the key I receive is 376
[INFO] (lattice_cell.c: 374): the key I receive is 377
[INFO] (lattice_cell.c: 374): the key I receive is 440
[INFO] (lattice_cell.c: 374): the key I receive is 441
[INFO] (lattice_cell.c: 401): on tick 3 of 50
[ERROR] (lattice_cell.c: 164): didn't receive the correct number of fi_star
[ERROR] (lattice_cell.c: 165): only received 1 states
[INFO] (lattice_cell.c: 374): the key I receive is 520
[INFO] (lattice_cell.c: 264): sending my position of 5 via multicast with key 448
[INFO] (lattice_cell.c: 228): n=1038771718 w=1038295623 s=1037888965 e=1038355424, nw=1021971585 sw=1021083068 se=1021096182 ne=1022035344
[368, 1038773840, 535, 1022012293, 447, 1022036237, 525, 1021090591, 376, 1038459298, 377, 1038302608, 440, 1038779580, 441, 1038296438, 520, 1038779582]
[INFO] (lattice_cell.c: 180): current_key = 368, current_payload = 1038773824.0, direction = 0
[INFO] (lattice_cell.c: 180): current_key = 535, current_payload = 1022012288.0, direction = 7
